ASIN,Title,Date,Price ($),Rating,Is Amazon
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-01,$27.82,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-02,$30.32,4.5,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-03,$27.08,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-04,$30.16,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-05,$30.21,4.9,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-06,$30.57,4.7,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-07,$31.37,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-08,$30.35,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-09,$31.65,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-10,$29.68,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-11,$31.11,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2015-12,$30.96,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-01,$30.95,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-02,$28.61,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-03,$32.17,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-04,$31.20,4.5,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-05,$28.53,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-06,$27.18,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-07,$27.67,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-08,$27.84,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-09,$32.22,4.8,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-10,$29.76,4.8,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-11,$31.82,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2016-12,$27.47,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-01,$30.72,4.9,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-02,$27.22,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-03,$32.20,4.5,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-04,$27.86,4.5,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-05,$31.09,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-06,$27.35,4.7,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-07,$31.65,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-08,$31.85,4.6,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-09,$28.90,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-10,$30.25,4.7,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-11,$30.46,4.8,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2017-12,$27.52,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2018-01,$27.74,4.7,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2018-02,$29.97,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2018-03,$29.46,5.0,Yes
B00NLZUM36,"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",2018-04,$27.17,5.0,Yes
